pydi_id,player_name,positions_position,clubs_club,nationality,matches_played_3s,minutes_played_3s,goals_3s,assists_3s,penalty_goals_3s,tackles_won_percentage_3s,goals_per_shot_3s,pass_completion_percentage_3s,save_percentage_3s,clean_sheet_percentage_3s,penalty_save_percentage_3s
left_000298,Alex Meret,GK,Napoli,ITA,69,6193,0,0,0,0,0,86.19,65.7,33.33,42.86
left_000299,Alex Mighten,"MF, FW","""Nottham Forest"", Kortrijk",ENG,11,252,0,0,0,100,0,76.79,0,0,0
left_000300,Alex Mortensen,"FW,MF",Groningen,SWE,2,10,0,0,0,0,0,50,0,0,0
left_000301,Alex Murphy,"DF,FW",Newcastle Utd,IRL,2,13,0,0,0,100,0,100,0,0,0
left_000302,Alex Oxlade-Chamberlain,"FW,MF",Liverpool,ENG,9,335,1,0,0,80,0.14,70.75,0,0,0
left_000303,Alex Padilla,GK,UNAM,ESP,10,900,0,0,0,0,0,71.69,56.41,20,0
left_000304,Alex Sandro,DF,Juventus,BRA,41,2508,1,1,0,56.25,0.1,86.14,0,0,0
left_000305,Alex Scott,MF,Bournemouth,ENG,30,1463,2,1,0,61.54,0.09,77.9,0,0,0
left_000306,Alex Sola,"FW,MF, DF,MF, DF, FW","Getafe, Alavés, Real Sociedad",ESP,42,1654,0,3,0,53.33,0,68.17,0,0,0
left_000307,Alex Telles,DF,Sevilla,BRA,27,1427,0,2,0,61.9,0,74.45,0,0,0
left_000308,Alex Timossi Andersson,"FW,MF",Heerenveen,SWE,12,260,0,0,0,50,0,66.67,0,0,0
left_000309,Alexander Bah,DF,Benfica,DEN,65,4808,3,8,0,64.38,0.1,78.36,0,0,0
left_000310,Alexander Brunst,GK,Darmstadt 98,GER,3,270,0,0,0,0,0,68.67,41.18,0,0
left_000311,Alexander Callens,DF,Girona,PER,6,120,0,0,0,100,0,83.87,0,0,0
left_000312,Alexander Djiku,DF,Strasbourg,GHA,31,2677,1,2,0,67.92,0.06,80.62,0,0,0
left_000313,Alexander Hack,DF,Mainz 05,GER,19,1132,0,0,0,60,0,73.38,0,0,0
left_000314,Alexander Isak,FW,"Liverpool, Newcastle Utd, Real Sociedad",SWE,56,4036,32,3,7,40,0.25,76.21,0,0,0
left_000315,Alexander Jakobsen,"FW,MF",RKC Waalwijk,EGY,5,70,0,0,0,100,0,62.86,0,0,0
left_000316,Alexander Meyer,GK,Dortmund,GER,15,1325,0,0,0,100,0,84.47,66.1,26.67,0
left_000317,Alexander Nübel,GK,"Monaco, Stuttgart",GER,73,6570,0,0,0,100,0,78.69,70.9,30.14,0
left_000318,Alexander Prass,"FW,MF",Hoffenheim,AUT,6,183,0,0,0,50,0,73.97,0,0,0
left_000319,Alexander Røssing-Lelesiit,"FW,MF",Hamburger SV,NOR,4,185,0,0,0,40,0,83.33,0,0,0
left_000320,Alexander Schmidt,FW,Vizela,AUT,10,321,0,0,0,100,0,56.58,0,0,0
left_000321,Alexander Schwolow,GK,"Union Berlin, Schalke 04",GER,24,2125,0,0,0,0,0,67.04,58.33,8.33,0
left_000322,Alexander Sørloth,FW,"RB Leipzig, Villarreal, Atlético Madrid, Real Sociedad",NOR,75,5168,37,9,0,50,0.25,71.27,0,0,0
left_000323,Alexandre Alemão,FW,Rayo Vallecano,BRA,4,200,0,0,0,0,0,62.86,0,0,0
left_000324,Alexandre Brito,"MF,DF",Sporting CP,POR,2,89,0,0,0,60,0,90.91,0,0,0
left_000325,Alexandre Coeff,DF,Auxerre,FRA,7,586,0,1,0,50,0,81.3,0,0,0
left_000326,Alexandre De Bruyn,"MF,FW",Kortrijk,BEL,4,121,0,0,0,100,0,92.98,0,0,0
left_000327,Alexandre Guedes,FW,Paços de Ferreira,POR,16,791,1,1,1,71.43,0.05,68.46,0,0,0
left_000328,Alexandre Lacazette,FW,Lyon,FRA,64,5222,46,7,8,56.45,0.28,71.58,0,0,0
left_000329,Alexandre Letellier,GK,Paris S-G,FRA,1,11,0,0,0,0,0,100,0,0,0
left_000330,Alexandre Miguel Barros Soares,MF,Estoril,POR,6,249,0,0,0,44.44,0,71.43,0,0,0
left_000331,Alexandre Oukidja,GK,Metz,ALG,34,2987,0,0,0,50,0,51.2,69.19,17.65,0
left_000332,Alexandre Penetra,DF,"AZ Alkmaar, Famalicão",POR,85,6862,2,3,0,68.24,0.04,84.48,0,0,0
left_000333,Alexandre Pinto,DF,"Gil Vicente FC, Arouca",POR,28,1887,0,1,0,70.45,0,70.54,0,0,0
left_000334,Alexandre Sola,MF,Estrela,AND,1,21,0,0,0,0,0,100,0,0,0
left_000335,Alexandre Stanic,"FW,MF, FW","Charleroi, Antwerp",BEL,2,14,0,0,0,0,0,80,0,0,0
left_000336,Alexandro Calut,"DF,MF",Standard Liège,BEL,10,219,0,0,0,33.33,0,77.05,0,0,0
left_000337,Alexei Dominguez,"FW,MF",Pachuca,MEX,28,970,0,2,0,84.85,0,73.13,0,0,0
left_000338,Alexis Beka Beka,"MF,DF",Nice,FRA,14,545,0,0,0,31.25,0,77.89,0,0,0
left_000339,Alexis Blin,MF,Lecce,FRA,66,4018,1,2,0,56.86,0.03,82.49,0,0,0
left_000340,Alexis Canelo,FW,Tijuana,ARG,37,3120,6,3,2,65.12,0.08,63.51,0,0,0
left_000341,Alexis Claude-Maurice,"MF,FW, FW,MF, MF, FW","Augsburg, Lens, Nice",FRA,43,1342,5,3,0,53.33,0.13,81.88,0,0,0
left_000342,Alexis De Sart,MF,RWDM,BEL,7,484,0,2,0,60,0,67.61,0,0,0
left_000343,Alexis Flips,"FW,MF, FW","Charleroi, Reims, Anderlecht",FRA,56,2638,4,6,0,54.79,0.05,67.58,0,0,0
left_000344,Alexis Francisco Peña,DF,Necaxa,MEX,88,7602,4,1,0,61.02,0.12,81.15,0,0,0
left_000345,Alexis Gutiérrez,"MF,FW, MF",Cruz Azul,MEX,60,3074,3,6,0,58.97,0.08,82.81,0,0,0
left_000346,Alexis Mac Allister,MF,"Brighton, Liverpool",ARG,73,5785,15,8,7,55.75,0.12,86.3,0,0,0
left_000347,Alexis Saelemaekers,"FW,DF, FW,MF, DF,MF","Bologna, Milan",BEL,65,3704,7,6,0,65.82,0.1,78.12,0,0,0
left_000348,Alexis Sánchez,"FW,MF","Marseille, Inter, Sevilla",CHI,62,3674,17,9,3,69.44,0.21,73.64,0,0,0
left_000349,Alexis Tibidi,"FW,MF",Troyes,FRA,3,74,0,0,0,100,0,82.61,0,0,0
left_000350,Alexis Vega,"FW,MF, FW","Guadalajara, Toluca",MEX,80,5904,25,22,3,68.04,0.12,75.1,0,0,0
left_000351,Alexis Vossah,MF,Toulouse,FRA,3,59,1,0,0,0,0.5,78.26,0,0,0
left_000352,Alexsandro Ribeiro,DF,Lille,BRA,54,4146,3,0,0,62.86,0.08,89.83,0,0,0
left_000353,Alfa Semedo,MF,Vitória,GNB,1,26,0,0,0,100,0,100,0,0,0
left_000354,Alfie Devine,MF,Westerlo,ENG,21,1606,4,0,0,60.87,0.1,76.26,0,0,0
left_000355,Alfie Doughty,DF,Luton Town,ENG,37,2925,2,8,0,63.49,0.08,66.49,0,0,0
left_000356,Alfie Gilchrist,DF,Chelsea,ENG,11,207,1,0,0,0,0.2,85.82,0,0,0
left_000357,Alfon,"FW,DF",Sevilla,ESP,3,163,1,0,0,0,0.2,77.5,0,0,0
left_000358,Alfons Sampsted,DF,Twente,ISL,36,1998,0,2,0,60.42,0,81.61,0,0,0
left_000359,Alfonso,MF,Oostende,MOZ,20,1297,0,0,0,69.57,0,72.12,0,0,0
left_000360,Alfonso Alvarado,"MF,FW, FW,MF","Monterrey, León",MEX,80,3330,11,4,0,65.96,0.11,72.59,0,0,0
left_000361,Alfonso Blanco Antúnez,GK,León,MEX,28,2520,0,0,0,100,0,76.54,76.26,25,0
left_000362,Alfonso Emilio Sánchez,"MF,FW",Mazatlán,MEX,20,647,2,0,0,52,0.2,75.65,0,0,0
left_000363,Alfonso Espino,DF,"Rayo Vallecano, Cádiz",URU,71,5720,0,5,0,65.58,0,69.26,0,0,0
