Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty,TklW_Percent
Christian Mawissa,FRA,"['Monaco', 'Toulouse']",['DF'],23,1576.0,2,0,0,0.4,86.9,0.0,0.0,0.0,64.29
Christian Neiva Afonso,POR,"['Vizela', 'AVS Futebol']","['DF,MF', 'DF']",54,3839.0,2,3,0,0.06,70.04,0.0,0.0,0.0,76.92
Christian Nørgaard,DEN,['Brentford'],['MF'],53,4268.0,3,4,0,0.06,78.12,0.0,0.0,0.0,60.15
Christian Oliva,URU,['FC Juárez'],['MF'],10,503.0,0,2,0,0.0,79.86,0.0,0.0,0.0,54.55
Christian Ordoñez,ARG,['Parma'],['MF'],4,118.0,0,0,0,0.0,70.97,0.0,0.0,0.0,100.0
Christian Pulisic,USA,"['Chelsea', 'Milan']","['FW,DF', 'FW,MF']",65,3673.0,17,11,0,0.19,78.43,0.0,0.0,0.0,66.67
Christian Rasmussen,DEN,['Ajax'],['FW'],12,221.0,1,0,0,0.12,66.67,0.0,0.0,0.0,40.0
Christian Rivera,COL,"['Querétaro', 'Tijuana']","['MF,FW', 'MF']",80,6122.0,13,2,10,0.22,87.55,0.0,0.0,0.0,64.31
Christian Tabó,URU,"['Cruz Azul', 'UNAM']","['MF,FW', 'FW,MF']",40,1229.0,2,0,0,0.07,70.22,0.0,0.0,0.0,70.0
Christian Valdivia,MEX,['Cruz Azul'],['DF'],1,19.0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
Christo Vela,MEX,['América'],"['MF,FW']",2,79.0,0,0,0,0.0,62.07,0.0,0.0,0.0,0.0
Christoph Baumgartner,AUT,"['Hoffenheim', 'RB Leipzig']","['MF,FW', 'MF']",70,4098.0,13,4,0,0.12,69.62,0.0,0.0,0.0,51.43
