Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Javier Ibarra,Mexico,MF,['León'],5,69.0,0,0,0,0.0,75.0,0.0
Javier Llabrés,Spain,MF,['Mallorca'],18,268.0,1,0,0,0.11,66.67,33.33
Javier Manquillo,Spain,DF,"['Newcastle Utd', 'Celta Vigo']",16,781.0,0,1,0,0.0,81.94,72.22
Javier Marcelo Correa,Argentina,Other,['Santos'],45,2044.0,13,1,1,0.12,66.1,56.52
Javier Muñoz,Spain,MF,"['Getafe', 'Las Palmas']",40,2791.0,2,3,0,0.05,78.96,54.55
Javier Pastore,Argentina,MF,['Elche'],1,5.0,0,0,0,0.0,75.0,0.0
Javier Rueda Garcia,Spain,Other,['Celta Vigo'],7,360.0,1,2,0,0.25,74.88,75.0
Javier Salas,Mexico,MF,['FC Juárez'],54,3901.0,0,0,0,0.0,87.41,60.0
Jawad El Yamiq,MAR,DF,['Valladolid'],25,1608.0,1,0,0,0.06,81.07,64.71
Jay Gorter,Netherlands,GK,['Ajax'],8,665.0,0,0,0,0.0,79.34,0.0
Jay Idzes,IDN,DF,"['Sassuolo', 'Go Ahead Eag']",37,3302.0,1,0,0,0.04,85.09,55.77
Jay Rodriguez,England,FW,['Burnley'],21,822.0,2,1,1,0.1,65.74,64.29
Jay Stansfield,England,FW,['Fulham'],3,87.0,0,0,0,0.0,39.13,0.0
Jay-David Mbalanda,France,FW,['Sint-Truiden'],3,19.0,0,0,0,0.0,75.0,100.0
Jay-Dee Geusens,Belgium,FW,['Genk'],1,3.0,0,0,0,0.0,100.0,0.0
Jaydee Canvot,France,Other,['Toulouse'],2,180.0,0,0,0,0.0,91.51,50.0
Jayden Addai,Netherlands,FW,"['Como', 'AZ Alkmaar']",28,714.0,2,0,0,0.08,69.12,66.67
Jayden Bogle,England,DF,"['Sheffield Utd', 'Leeds United']",40,3312.0,3,0,0,0.08,71.42,53.66
Jayden Braaf,Netherlands,Other,"['Hellas Verona', 'Fortuna Sittard']",12,337.0,0,0,0,0.0,78.26,60.0
Jayden Danns,England,FW,['Liverpool'],2,9.0,0,0,0,0.0,71.43,0.0
Jaydon Amauri Banel,Netherlands,FW,['Ajax'],6,157.0,0,1,0,0.0,74.29,66.67
Jaziel Martínez,Mexico,MF,"['Monterrey', 'Atlas']",33,1137.0,2,3,0,0.12,81.99,48.48
Jaïro Riedewald,Netherlands,Other,"['Crystal Palace', 'Antwerp']",30,1118.0,0,0,0,0.0,82.89,57.14
Jean Butez,France,GK,"['Como', 'Antwerp']",69,6210.0,0,0,0,0.0,78.06,0.0
Jean Felipe,Brazil,Other,['Estrela'],23,1151.0,1,2,0,0.1,68.66,75.0
Jean Gorby,France,MF,['Braga'],31,1333.0,1,0,0,0.08,85.78,44.83
