id1,id2,score,notes
FBRef_005706,TM_031622,0.876666667,comparators=4
FBRef_002018,TM_034513,0.876666667,comparators=4
FBRef_002298,TM_046565,0.876666667,comparators=4
FBRef_004776,TM_029036,0.876666667,comparators=4
FBRef_004283,TM_005255,0.876666667,comparators=4
FBRef_001849,TM_055804,0.876666667,comparators=4
FBRef_002246,TM_005363,0.876666667,comparators=4
FBRef_004029,TM_011306,0.876666667,comparators=4
FBRef_007247,TM_059636,0.876666667,comparators=4
FBRef_004013,TM_012881,0.876666667,comparators=4
FBRef_000710,TM_044805,0.876666667,comparators=4
FBRef_001930,TM_018034,0.87654321,comparators=4
FBRef_005144,TM_009199,0.876333333,comparators=4
FBRef_000535,TM_024824,0.875961538,comparators=4
FBRef_001576,TM_013729,0.875878788,comparators=4
FBRef_002506,TM_046068,0.875878788,comparators=4
FBRef_002082,TM_046064,0.875878788,comparators=4
FBRef_002137,TM_041029,0.875878788,comparators=4
FBRef_004521,TM_018887,0.875878788,comparators=4
FBRef_000389,TM_037401,0.875555556,comparators=4
FBRef_001306,TM_017618,0.875333333,comparators=4
FBRef_004206,TM_054217,0.874666667,comparators=4
FBRef_004867,TM_016783,0.874226475,comparators=4
FBRef_006723,TM_012863,0.874098124,comparators=4
FBRef_006378,TM_035252,0.873968254,comparators=4
FBRef_000422,TM_007178,0.873888889,comparators=4
FBRef_006717,TM_027720,0.873861614,comparators=4
FBRef_004975,TM_015729,0.873787879,comparators=4
FBRef_004990,TM_024535,0.873651294,comparators=4
FBRef_000171,TM_007802,0.873492063,comparators=4
FBRef_006144,TM_055035,0.873430736,comparators=4
FBRef_002470,TM_031095,0.873378205,comparators=4
FBRef_003322,TM_026462,0.873339161,comparators=4
FBRef_005347,TM_049428,0.873333333,comparators=4
FBRef_003185,TM_035248,0.873333333,comparators=4
FBRef_007415,TM_068182,0.873333333,comparators=4
FBRef_003711,TM_053985,0.873333333,comparators=4
FBRef_006358,TM_016147,0.873333333,comparators=4
FBRef_004138,TM_009615,0.873333333,comparators=4
FBRef_000091,TM_059701,0.873333333,comparators=4
FBRef_005818,TM_033698,0.873333333,comparators=4
FBRef_001555,TM_025250,0.873333333,comparators=4
FBRef_001586,TM_008401,0.873333333,comparators=4
FBRef_004119,TM_003524,0.873333333,comparators=4
FBRef_002641,TM_002360,0.873333333,comparators=4
FBRef_005669,TM_061751,0.873333333,comparators=4
FBRef_002501,TM_043616,0.873333333,comparators=4
FBRef_004693,TM_039695,0.873333333,comparators=4
FBRef_003376,TM_003547,0.873333333,comparators=4
FBRef_006082,TM_053529,0.873333333,comparators=4
FBRef_003358,TM_011289,0.873333333,comparators=4
FBRef_005418,TM_045483,0.873333333,comparators=4
FBRef_002771,TM_045451,0.873333333,comparators=4
FBRef_003522,TM_010536,0.873333333,comparators=4
FBRef_004400,TM_046266,0.873333333,comparators=4
FBRef_007130,TM_034867,0.873333333,comparators=4
FBRef_003081,TM_038344,0.873333333,comparators=4
FBRef_001226,TM_048352,0.873333333,comparators=4
FBRef_000494,TM_034213,0.873333333,comparators=4
FBRef_003390,TM_043811,0.873333333,comparators=4
FBRef_003425,TM_011052,0.873333333,comparators=4
FBRef_007046,TM_021242,0.873333333,comparators=4
FBRef_005170,TM_040673,0.873333333,comparators=4
FBRef_001375,TM_049939,0.873333333,comparators=4
FBRef_001707,TM_028127,0.873333333,comparators=4
FBRef_007239,TM_016928,0.873333333,comparators=4
FBRef_000186,TM_066287,0.873333333,comparators=4
FBRef_002690,TM_048506,0.873333333,comparators=4
FBRef_004394,TM_017699,0.873333333,comparators=4
FBRef_005533,TM_025702,0.873333333,comparators=4
FBRef_000336,TM_045479,0.873333333,comparators=4
FBRef_005005,TM_035833,0.873,comparators=4
FBRef_004155,TM_021914,0.873,comparators=4
FBRef_004834,TM_010529,0.873,comparators=4
FBRef_004212,TM_053312,0.873,comparators=4
FBRef_003377,TM_020715,0.872994228,comparators=4
FBRef_003335,TM_026415,0.872916667,comparators=4
FBRef_003344,TM_058215,0.872916667,comparators=4
FBRef_001936,TM_011088,0.872916667,comparators=4
FBRef_005575,TM_048224,0.872666667,comparators=4
FBRef_007125,TM_018920,0.872666667,comparators=4
FBRef_002279,TM_021555,0.872583333,comparators=4
FBRef_002835,TM_044376,0.872583333,comparators=4
FBRef_004219,TM_002049,0.872444444,comparators=4
FBRef_006690,TM_013078,0.872444444,comparators=4
FBRef_005705,TM_036046,0.872444444,comparators=4
FBRef_005061,TM_027490,0.872438672,comparators=4
FBRef_006428,TM_032814,0.872416667,comparators=4
FBRef_002746,TM_040383,0.872380952,comparators=4
FBRef_002480,TM_032837,0.872333333,comparators=4
FBRef_007149,TM_011139,0.872242424,comparators=4
FBRef_007257,TM_060565,0.872051282,comparators=4
FBRef_000181,TM_035334,0.872051282,comparators=4
FBRef_004996,TM_065865,0.872051282,comparators=4
FBRef_001089,TM_018335,0.872051282,comparators=4
FBRef_004150,TM_055086,0.872,comparators=4
FBRef_000272,TM_039285,0.872,comparators=4
FBRef_004860,TM_046510,0.872,comparators=4
FBRef_002391,TM_030308,0.872,comparators=4
FBRef_004584,TM_066239,0.872,comparators=4
FBRef_000270,TM_016063,0.872,comparators=4
FBRef_000843,TM_011959,0.871921569,comparators=4
FBRef_004264,TM_022625,0.871809524,comparators=4
FBRef_006201,TM_028108,0.871809524,comparators=4
FBRef_005851,TM_059902,0.871809524,comparators=4
FBRef_004025,TM_025985,0.871666667,comparators=4
FBRef_005620,TM_041138,0.871666667,comparators=4
FBRef_004425,TM_031769,0.871626984,comparators=4
FBRef_005282,TM_055021,0.871333333,comparators=4
FBRef_000771,TM_068706,0.871333333,comparators=4
FBRef_004296,TM_068729,0.871333333,comparators=4
FBRef_005294,TM_040666,0.871284314,comparators=4
FBRef_005545,TM_003810,0.871212121,comparators=4
FBRef_006125,TM_032033,0.871212121,comparators=4
FBRef_007365,TM_006416,0.871212121,comparators=4
FBRef_001035,TM_029467,0.871212121,comparators=4
FBRef_002410,TM_020879,0.871212121,comparators=4
FBRef_005453,TM_023619,0.870851371,comparators=4
FBRef_004710,TM_025751,0.870833333,comparators=4
FBRef_003356,TM_012007,0.870833333,comparators=4
FBRef_001458,TM_055290,0.870833333,comparators=4
FBRef_002939,TM_061917,0.870833333,comparators=4
FBRef_001699,TM_034262,0.870833333,comparators=4
FBRef_000896,TM_020212,0.870833333,comparators=4
FBRef_001227,TM_047302,0.870807018,comparators=4
FBRef_005139,TM_064012,0.870793651,comparators=4
FBRef_007120,TM_054828,0.870683761,comparators=4
FBRef_004209,TM_026712,0.870666667,comparators=4
FBRef_002129,TM_012456,0.870666667,comparators=4
FBRef_006489,TM_023592,0.870666667,comparators=4
FBRef_002513,TM_050816,0.870666667,comparators=4
FBRef_006065,TM_031832,0.870666667,comparators=4
FBRef_003820,TM_068750,0.870666667,comparators=4
FBRef_002374,TM_031459,0.870666667,comparators=4
FBRef_005457,TM_042967,0.870609946,comparators=4
FBRef_006353,TM_029993,0.870564103,comparators=4
FBRef_001474,TM_018036,0.870564103,comparators=4
FBRef_004921,TM_005385,0.870454545,comparators=4
FBRef_002134,TM_012568,0.870424242,comparators=4
FBRef_002273,TM_006089,0.870424242,comparators=4
FBRef_000264,TM_028667,0.870424242,comparators=4
FBRef_004837,TM_044304,0.870424242,comparators=4
FBRef_005186,TM_036319,0.870222222,comparators=4
FBRef_000558,TM_034786,0.870192308,comparators=4
FBRef_007169,TM_000187,0.87,comparators=4
FBRef_003887,TM_066401,0.87,comparators=4
FBRef_001102,TM_045125,0.87,comparators=4
FBRef_006179,TM_059110,0.87,comparators=4
FBRef_007425,TM_064876,0.87,comparators=4
FBRef_006865,TM_015659,0.869835358,comparators=4
FBRef_002553,TM_043310,0.869818376,comparators=4
FBRef_000778,TM_003592,0.869803922,comparators=4
FBRef_002658,TM_014055,0.869803922,comparators=4
FBRef_004405,TM_010980,0.869803922,comparators=4
FBRef_001165,TM_049972,0.869777778,comparators=4
FBRef_007288,TM_024567,0.86974026,comparators=4
FBRef_003948,TM_063645,0.869583333,comparators=4
FBRef_001402,TM_004619,0.869583333,comparators=4
FBRef_004936,TM_031905,0.869583333,comparators=4
FBRef_005514,TM_065245,0.869583333,comparators=4
FBRef_004177,TM_064539,0.869583333,comparators=4
FBRef_007282,TM_014992,0.86952381,comparators=4
FBRef_005360,TM_033563,0.86952381,comparators=4
FBRef_001527,TM_049247,0.86952381,comparators=4
FBRef_000614,TM_007112,0.869333333,comparators=4
FBRef_006831,TM_039520,0.869333333,comparators=4
FBRef_003015,TM_055696,0.869333333,comparators=4
FBRef_000742,TM_055601,0.869333333,comparators=4
FBRef_004804,TM_034840,0.869333333,comparators=4
FBRef_007281,TM_040244,0.869333333,comparators=4
FBRef_005149,TM_068584,0.869333333,comparators=4
FBRef_002455,TM_067420,0.869333333,comparators=4
FBRef_002373,TM_031397,0.869298246,comparators=4
FBRef_003133,TM_037360,0.869065657,comparators=4
FBRef_000972,TM_016076,0.869047619,comparators=4
